114	114	OK
125	125	OK
163	163	OK
164	164	OK
186	186	OK
207	207	OK
284	284	OK
299	299	OK
324	324	OK
335	335	OK
348	348	OK
666	666	OK
764	764	OK
769	769	OK
895	895	OK
873	308	NG
4	128	NG
128	232	NG
232	268	NG
268	403	NG
403	440	NG
440	494	NG
494	600	NG
600	608	NG
608	631	NG
631	644	NG
644	862	NG
862	911	NG
911	925	NG
925	942	NG
942	942	OK
685	685	OK
153	153	OK
188	188	OK
192	192	OK
259	259	OK
314	314	OK
317	317	OK
392	392	OK
432	432	OK
528	528	OK
716	716	OK
730	730	OK
788	788	OK
851	851	OK
937	937	OK
947	947	OK
692	692	OK
17	17	OK
19	19	OK
110	110	OK
133	133	OK
191	191	OK
340	340	OK
433	433	OK
515	515	OK
563	563	OK
